2022-03-08T14-40-56,38478,Walmart Pharmacy #238,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,38478,Walmart Pharmacy #238,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
