2022-03-08T14-40-56,92118,Walgreens Store #13859,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,92118,Walgreens Store #13859,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,92118,Walgreens Store #13859,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,92118,Walgreens Store #13859,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,92118,Walgreens Store #13859,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,92118,Walgreens Store #13859,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
