2022-02-16T08-11-48,93552,Walgreens Store #06976,02/10/2022 12:00:00 AM,02/11/2022 12:00:00 AM,60,20,02/14/2022 12:00:00 AM
2022-02-16T08-23-53,93552,Walgreens Store #06976,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,20,02/15/2022 12:00:00 AM
2022-02-16T18-37-01,93552,Rite Aid 05844,02/14/2022 12:00:00 AM,02/15/2022 12:00:00 AM,40,40,02/16/2022 12:00:00 AM
2022-02-16T18-37-01,93552,Walgreens Store #06976,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,60,02/16/2022 12:00:00 AM
2022-02-18T15-54-16,93552,Rite Aid 05844,02/14/2022 12:00:00 AM,02/15/2022 12:00:00 AM,40,40,02/17/2022 12:00:00 AM
2022-02-18T15-54-16,93552,Walgreens Store #06976,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,60,02/17/2022 12:00:00 AM
2022-02-18T16-04-21,93552,Walgreens Store #06976,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,60,02/18/2022 12:00:00 AM
2022-02-18T16-04-21,93552,Rite Aid 05844,02/14/2022 12:00:00 AM,02/15/2022 12:00:00 AM,40,40,02/18/2022 12:00:00 AM
2022-02-22T09-09-37,93552,Walgreens Store #06976,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,60,02/21/2022 12:00:00 AM
2022-02-22T09-09-37,93552,Rite Aid 05844,02/14/2022 12:00:00 AM,02/15/2022 12:00:00 AM,40,40,02/21/2022 12:00:00 AM
2022-02-24T09-51-18,93552,Rite Aid 05844,02/14/2022 12:00:00 AM,02/15/2022 12:00:00 AM,40,40,02/22/2022 12:00:00 AM
2022-02-24T09-51-18,93552,Walgreens Store #06976,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,60,02/22/2022 12:00:00 AM
2022-03-03T09-56-49,93552,Rite Aid 05844,02/14/2022 12:00:00 AM,02/15/2022 12:00:00 AM,40,39,03/01/2022 12:00:00 AM
2022-03-03T09-56-49,93552,Walgreens Store #06976,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,60,02/28/2022 12:00:00 AM
