2022-03-08T14-40-56,95014,Walgreens Store #04416,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,40,41,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,95014,Walgreens Store #04416,NLP,NLP,NLP,79,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,95014,Walgreens Store #04416,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,95014,Walgreens Store #04416,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,95014,Walgreens Store #04416,NLP,NLP,NLP,73,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,95014,Walgreens Store #04416,NLP,NLP,NLP,73,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,95014,Walgreens Store #04416,NLP,NLP,NLP,73,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,95014,Walgreens Store #04416,NLP,NLP,NLP,73,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,95014,Walgreens Store #04416,NLP,NLP,NLP,73,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,95014,Walgreens Store #04416,NLP,NLP,NLP,73,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,95014,Walgreens Store #04416,NLP,NLP,NLP,73,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,95014,Walgreens Store #04416,NLP,NLP,NLP,73,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,95014,Walgreens Store #04416,NLP,NLP,NLP,73,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,95014,Walgreens Store #04416,NLP,NLP,NLP,61,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,95014,Walgreens Store #04416,NLP,NLP,NLP,61,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,95014,Walgreens Store #04416,NLP,NLP,NLP,61,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,95014,Walgreens Store #04416,NLP,NLP,NLP,59,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,95014,CVS Store #09894,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,95014,Walgreens Store #04416,NLP,NLP,NLP,68,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,95014,CVS Store #09894,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,95014,Walgreens Store #04416,NLP,NLP,NLP,68,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,95014,CVS Store #09894,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,95014,Walgreens Store #04416,NLP,NLP,NLP,68,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,95014,CVS Store #09894,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,95014,Walgreens Store #04416,NLP,NLP,NLP,68,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,95014,CVS Store #09894,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,95014,Walgreens Store #04416,NLP,NLP,NLP,65,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,95014,CVS Store #09894,NLP,NLP,NLP,18,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,95014,Walgreens Store #04416,NLP,NLP,NLP,65,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,95014,CVS Store #09894,NLP,NLP,NLP,18,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,95014,Walgreens Store #04416,NLP,NLP,NLP,65,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,95014,CVS Store #09894,NLP,NLP,NLP,18,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,95014,Walgreens Store #04416,NLP,NLP,NLP,65,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,95014,CVS Store #09894,NLP,NLP,NLP,18,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,95014,Walgreens Store #04416,NLP,NLP,NLP,65,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,95014,CVS Store #09894,NLP,NLP,NLP,18,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,95014,CVS Store #09894,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,95014,Walgreens Store #04416,NLP,NLP,NLP,74,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,95014,CVS Store #09894,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,95014,Walgreens Store #04416,NLP,NLP,NLP,74,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,95014,CVS Store #09894,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,95014,Walgreens Store #04416,NLP,NLP,NLP,74,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,95014,Walgreens Store #04416,NLP,NLP,NLP,62,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,95014,CVS Store #09894,NLP,NLP,NLP,16,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,95014,Walgreens Store #04416,NLP,NLP,NLP,62,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,95014,CVS Store #09894,NLP,NLP,NLP,16,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,95014,Walgreens Store #04416,NLP,NLP,NLP,81,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,95014,CVS Store #09894,NLP,NLP,NLP,16,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,95014,Walgreens Store #04416,NLP,NLP,NLP,81,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,95014,CVS Store #09894,NLP,NLP,NLP,15,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,95014,Walgreens Store #04416,NLP,NLP,NLP,79,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,95014,CVS Store #09894,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,95014,Walgreens Store #04416,NLP,NLP,NLP,79,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,95014,CVS Store #09894,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,95014,Walgreens Store #04416,NLP,NLP,NLP,79,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,95014,CVS Store #09894,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,95014,Walgreens Store #04416,NLP,NLP,NLP,79,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,95014,CVS Store #09894,NLP,NLP,NLP,13,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,95014,Walgreens Store #04416,NLP,NLP,NLP,79,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,95014,CVS Store #09894,NLP,NLP,NLP,12,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,95014,Walgreens Store #04416,NLP,NLP,NLP,79,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,95014,CVS Store #09894,NLP,NLP,NLP,12,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,95014,Walgreens Store #04416,NLP,NLP,NLP,79,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,95014,CVS Store #09894,NLP,NLP,NLP,9,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,95014,Walgreens Store #04416,NLP,NLP,NLP,79,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,95014,CVS Store #09894,NLP,NLP,NLP,8,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,95014,Walgreens Store #04416,NLP,NLP,NLP,78,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,95014,CVS Store #09894,NLP,NLP,NLP,8,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,95014,Walgreens Store #04416,NLP,NLP,NLP,78,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,95014,CVS Store #09894,NLP,NLP,NLP,8,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,95014,Walgreens Store #04416,NLP,NLP,NLP,78,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,95014,CVS Store #09894,NLP,NLP,NLP,8,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,95014,Walgreens Store #04416,NLP,NLP,NLP,73,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,95014,CVS Store #09894,NLP,NLP,NLP,5,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,95014,Walgreens Store #04416,NLP,NLP,NLP,73,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,95014,CVS Store #09894,NLP,NLP,NLP,24,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,95014,Walgreens Store #04416,NLP,NLP,NLP,64,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,95014,CVS Store #09894,NLP,NLP,NLP,23,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,95014,Walgreens Store #04416,NLP,NLP,NLP,64,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,95014,CVS Store #09894,NLP,NLP,NLP,22,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,95014,Walgreens Store #04416,NLP,NLP,NLP,57,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,95014,CVS Store #09894,NLP,NLP,NLP,23,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,95014,Walgreens Store #04416,NLP,NLP,NLP,57,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,95014,CVS Store #09894,NLP,NLP,NLP,23,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,95014,Rite Aid 05967,NLP,NLP,NLP,40,04/24/2022 12:00:00 AM
2022-04-25T05-22-33,95014,Walgreens Store #04416,NLP,NLP,NLP,57,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,95014,CVS Store #09894,NLP,NLP,NLP,23,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,95014,Walgreens Store #04416,NLP,NLP,NLP,46,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,95014,Rite Aid 05967,NLP,NLP,NLP,40,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,95014,CVS Store #09894,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,95014,Walgreens Store #04416,NLP,NLP,NLP,46,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,95014,Rite Aid 05967,NLP,NLP,NLP,40,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,95014,CVS Store #09894,NLP,NLP,NLP,38,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,95014,Walgreens Store #04416,NLP,NLP,NLP,35,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,95014,Rite Aid 05967,NLP,NLP,NLP,37,04/28/2022 12:00:00 AM
2022-04-28T09-22-45,95014,CVS Store #09894,NLP,NLP,NLP,38,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,95014,Walgreens Store #04416,NLP,NLP,NLP,27,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,95014,CVS Store #09894,NLP,NLP,NLP,33,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,95014,Rite Aid 05967,NLP,NLP,NLP,37,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,95014,Walgreens Store #04416,NLP,NLP,NLP,25,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,95014,CVS Store #09894,NLP,NLP,NLP,30,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,95014,Rite Aid 05967,NLP,NLP,NLP,36,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,95014,Walgreens Store #04416,NLP,NLP,NLP,25,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,95014,Rite Aid 05967,NLP,NLP,NLP,36,04/30/2022 12:00:00 AM
2022-05-01T05-13-51,95014,CVS Store #09894,NLP,NLP,NLP,30,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,95014,Walgreens Store #04416,NLP,NLP,NLP,25,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,95014,Rite Aid 05967,NLP,NLP,NLP,36,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,95014,CVS Store #09894,NLP,NLP,NLP,30,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,95014,Walgreens Store #04416,NLP,NLP,NLP,25,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,95014,CVS Store #09894,NLP,NLP,NLP,26,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,95014,Rite Aid 05967,NLP,NLP,NLP,36,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,95014,Walgreens Store #04416,NLP,NLP,NLP,25,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,95014,CVS Store #09894,NLP,NLP,NLP,23,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,95014,Rite Aid 05967,NLP,NLP,NLP,36,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,95014,Walgreens Store #04416,NLP,NLP,NLP,25,04/29/2022 12:00:00 AM
2022-05-05T09-49-47,95014,Rite Aid 05967,NLP,NLP,NLP,34,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,95014,CVS Store #09894,NLP,NLP,NLP,22,05/04/2022 12:00:00 AM
