2022-05-17T05-27-38,74110,Walgreens Store #05421,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,74110,WALGREENS STORE #05421,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
