2022-05-17T05-27-38,31820,Walgreens Store #18178,NLP,NLP,NLP,17,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,31820,WALGREENS STORE #18178,NLP,NLP,NLP,15,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,31820,WALGREENS STORE #18178,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,31820,WALGREENS STORE #18178,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,31820,WALGREENS STORE #18178,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,31820,WALGREENS STORE #18178,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,31820,WALGREENS STORE #18178,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
