2022-03-08T14-40-56,34202,Lakewood Ranch Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,39,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,34202,Walgreens Store #12102,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,34202,Lakewood Ranch Pharmacy,NLP,NLP,NLP,39,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,34202,Lakewood Ranch Pharmacy,NLP,NLP,NLP,39,03/15/2022 12:00:00 AM
2022-03-18T09-58-11,34202,Walgreens Store #12102,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,34202,Lakewood Ranch Pharmacy,NLP,NLP,NLP,39,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,34202,Walgreens Store #12102,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,34202,Walgreens Store #12102,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,34202,Lakewood Ranch Pharmacy,NLP,NLP,NLP,39,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,34202,Walgreens Store #12102,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,34202,Lakewood Ranch Pharmacy,NLP,NLP,NLP,39,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,34202,Walgreens Store #12102,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,34202,Lakewood Ranch Pharmacy,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,34202,Lakewood Ranch Pharmacy,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,34202,Walgreens Store #12102,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,34202,Lakewood Ranch Pharmacy,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,34202,Walgreens Store #12102,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
