2022-03-08T14-40-56,61571,Walgreens Store #03763,02/24/2022 12:00:00 AM,02/28/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,61571,Walgreens Store #03763,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,61571,Walgreens Store #03763,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,61571,Walgreens Store #03763,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,61571,Walgreens Store #03763,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,61571,Walgreens Store #03763,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,61571,Walgreens Store #03763,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,61571,Walgreens Store #03763,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,61571,Walgreens Store #03763,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,61571,Walgreens Store #03763,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,61571,Walgreens Store #03763,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,61571,Walgreens Store #03763,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,61571,Walmart Pharmacy #1421,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,61571,Walgreens Store #03763,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,61571,Walmart Pharmacy #1421,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,61571,Walgreens Store #03763,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,61571,Walmart Pharmacy #1421,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,61571,Walgreens Store #03763,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,61571,Walmart Pharmacy #1421,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,61571,Walmart Pharmacy #1421,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,61571,Walgreens Store #03763,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,61571,Walgreens Store #03763,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,61571,Walmart Pharmacy #1421,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,61571,Walgreens Store #03763,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,61571,Walmart Pharmacy #1421,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,61571,Walmart Pharmacy #1421,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,61571,Walgreens Store #03763,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,61571,Walmart Pharmacy #1421,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,61571,Walgreens Store #03763,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,61571,Walmart Pharmacy #1421,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,61571,Walgreens Store #03763,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,61571,Walgreens Store #03763,NLP,NLP,NLP,19,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,61571,Walmart Pharmacy #1421,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,61571,Walmart Pharmacy #1421,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,61571,Walgreens Store #03763,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,61571,Walmart Pharmacy #1421,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
