2022-03-08T14-40-56,29642,Ingles Markets Inc,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-03-16T18-51-35,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,29642,Ingles Markets Inc,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
