2022-02-18T16-04-21,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOS,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOS,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOS,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOS,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,41,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,41,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,41,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,41,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,41,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,41,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,41,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,41,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,41,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,41,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,41,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,36,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,36,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,36,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,36,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,36,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,36,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,36,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,27371,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,NLP,NLP,NLP,36,03/23/2022 12:00:00 AM
